team1_wins,team1_encoded,team2_encoded,team1_won_toss,toss_field,toss_decision_encoded,is_playoff,is_super_over,team1_win_rate,team2_win_rate,win_rate_diff,venue_match_count
Team1_Wins,15,11,0,0,0,0,0,0.484,0.455,0.029,49
Team2_Wins,7,1,1,0,0,0,0,0.522,0.582,-0.06,77
Team1_Wins,14,12,1,1,1,0,0,0.488,0.511,-0.023,63
Team1_Wins,3,9,0,0,0,0,0,0.46,0.552,-0.092,59
Team1_Wins,11,10,1,1,1,0,0,0.455,0.267,0.188,35
Team1_Wins,1,12,0,0,0,0,0,0.582,0.511,0.071,48
Team1_Wins,14,10,0,1,1,0,0,0.488,0.267,0.221,63
Team2_Wins,3,11,0,1,1,0,0,0.46,0.455,0.005,59
Team2_Wins,7,9,1,0,0,0,0,0.522,0.552,-0.03,77
Team1_Wins,1,15,0,0,0,0,0,0.582,0.484,0.098,48
Team1_Wins,7,11,0,0,0,0,0,0.522,0.455,0.067,77
Team1_Wins,12,15,0,0,0,0,0,0.511,0.484,0.027,47
Team1_Wins,9,14,1,0,0,0,0,0.552,0.488,0.064,73
Team1_Wins,1,7,0,1,1,0,0,0.582,0.522,0.06,48
Team1_Wins,3,10,0,1,1,0,0,0.46,0.267,0.193,6
Team1_Wins,12,14,1,1,1,0,0,0.511,0.488,0.023,47
Team1_Wins,9,11,1,0,0,0,0,0.552,0.455,0.097,73
Team2_Wins,10,1,0,0,0,0,0,0.267,0.582,-0.315,16
Team1_Wins,15,9,0,0,0,0,0,0.484,0.552,-0.068,49
Team1_Wins,3,7,0,0,0,0,0,0.46,0.522,-0.062,6
Team1_Wins,1,11,1,0,0,0,0,0.582,0.455,0.127,48
Team2_Wins,10,14,0,0,0,0,0,0.267,0.488,-0.221,16
Team1_Wins,7,12,0,0,0,0,0,0.522,0.511,0.011,77
Team1_Wins,15,3,0,0,0,0,0,0.484,0.46,0.024,49
Team1_Wins,9,1,1,0,0,0,0,0.552,0.582,-0.03,73
Team1_Wins,12,10,0,0,0,0,0,0.511,0.267,0.244,47
